sample_id,class,class_name,orig_fLength,orig_fWidth,orig_fSize,orig_fConc,orig_fConc1,orig_fAsym,orig_fM3Long,orig_fM3Trans,orig_fAlpha,orig_fDist,rec_fLength,rec_fWidth,rec_fSize,rec_fConc,rec_fConc1,rec_fAsym,rec_fM3Long,rec_fM3Trans,rec_fAlpha,rec_fDist,error_fLength,error_fWidth,error_fSize,error_fConc,error_fConc1,error_fAsym,error_fM3Long,error_fM3Trans,error_fAlpha,error_fDist,mse_total
25,1.0,Сигнал,-0.44897792,-0.27090973,-0.4165122,-0.30633298,-0.3157799,-0.80529654,0.029030468,-0.474535,0.58044004,-0.2023108,-0.26068336,-0.22791755,0.008008473,-0.18402034,-0.19773301,0.25721002,0.074409515,-0.022677224,-0.18661833,-0.14058377,0.18829456,0.042992175,0.42452067,0.122312635,0.11804688,1.0625066,0.045379046,0.45185778,0.7670584,0.061727032,0.21737602
26,1.0,Сигнал,1.2526381,0.57691497,2.1935267,-1.4983032,-1.4553121,1.0184832,1.9613258,-0.6822208,-0.99915916,0.26136675,1.0158916,1.1834596,1.1268747,-1.2115128,-1.1498529,0.088872775,0.022856887,-0.1468904,0.13174367,0.68766856,0.23674655,0.6065447,1.066652,0.28679037,0.30545926,0.9296104,1.9384689,0.5353304,1.1309028,0.4263018,0.81063366
27,1.0,Сигнал,0.82951933,0.50771993,1.8003491,-1.1525283,-1.1258739,-0.6785938,1.1659272,-0.9951659,-1.0232735,1.3674102,1.2377628,1.2096206,1.2152644,-1.0287983,-1.0598625,-0.547102,-0.119527906,-0.0057684416,-0.08900205,0.7565689,0.40824348,0.70190066,0.5850847,0.123729944,0.06601143,0.13149184,1.2854551,0.98939747,0.9342714,0.6108413,0.49159002
28,1.0,Сигнал,-0.28433073,-0.29246137,-0.4306903,-0.4865715,-0.59121186,-0.34000653,0.15211995,-0.59660155,-0.30865642,-0.06404869,-0.19292238,-0.19771239,0.031721238,-0.23013464,-0.23750791,0.20671776,0.06895897,-0.01274746,-0.28410748,-0.09295361,0.09140834,0.094748974,0.46241152,0.25643685,0.35370395,0.5467243,0.08316098,0.5838541,0.024548948,0.028904915,0.10701706
29,1.0,Сигнал,-0.79428446,-0.810542,-1.4413556,1.8309364,1.9047778,0.07474928,-0.28927147,-0.24467103,0.5108905,0.6119098,-0.8297962,-0.6509208,-1.1937101,1.6080799,1.535406,0.12504964,-0.12634754,-0.024078622,0.96028787,-0.5884081,0.035511732,0.15962118,0.2476455,0.22285652,0.36937177,0.050300352,0.16292393,0.22059241,0.4493974,1.2003179,0.19946252
30,1.0,Сигнал,0.19865863,-0.020116882,1.0872122,-1.2173271,-1.2068833,0.21324374,0.12706663,-0.50375354,-0.7545669,-0.048549533,0.48193228,0.5163021,0.60033053,-0.7074971,-0.7205157,0.010803297,0.037382063,-0.057323076,-0.21868768,0.31735715,0.28327364,0.536419,0.48688167,0.50983,0.48636758,0.20244044,0.08968456,0.44643047,0.53587925,0.3659067,0.17709029
31,1.0,Сигнал,0.8276703,0.44758856,0.9064944,-1.0986202,-0.97915685,-0.45578885,1.4357578,-0.93268496,-0.97057295,1.8023494,0.98278904,0.9859631,1.028715,-0.8649286,-0.93013626,-0.41106975,-0.060488034,-0.0120926285,-0.107036486,0.6682395,0.15511876,0.53837454,0.122220635,0.23369157,0.04902059,0.0447191,1.4962457,0.9205923,0.8635365,1.13411,0.5506004
32,0.0,Фон,-0.571715,-0.7165688,-0.3837121,1.0887458,0.8930604,0.20006113,0.13122255,0.45532954,-0.42844263,-0.67619187,-0.6959002,-0.7096004,-0.7179063,0.78136355,0.7971278,0.18850428,-0.12003766,0.060878895,0.13462247,-0.5349616,0.124185205,0.0069684386,0.33419418,0.3073823,0.0959326,0.011556849,0.25126022,0.39445063,0.5630651,0.14123029,0.07866881
33,1.0,Сигнал,1.1168232,0.07086615,1.1904795,-1.3017287,-1.247388,-1.3691322,1.5292041,0.6788045,-0.9661739,0.81864107,1.336605,1.1739033,1.1693708,-0.8824768,-0.9255748,-0.8292655,-0.1819197,0.078121446,-0.19930127,0.7229868,0.21978176,1.1030372,0.021108747,0.41925192,0.32181323,0.5398667,1.7111238,0.6006831,0.76687264,0.09565425,0.5722241
34,1.0,Сигнал,-0.43791223,-0.013988321,0.51416326,-0.4408312,-0.28607646,0.4500706,0.13016246,0.46667916,-0.9894605,-0.06384809,-0.19776887,-0.2092014,0.026456933,-0.21466127,-0.22001539,0.22412242,0.06626102,-0.011067667,-0.27504584,-0.1065875,0.24014336,0.19521308,0.48770633,0.22616994,0.066061065,0.22594817,0.06390144,0.4777468,0.7144147,0.042739406,0.11847444
35,1.0,Сигнал,-0.10686578,-0.1775687,0.08585787,-0.6646319,-0.7037249,-0.66713035,0.2085007,0.56098926,-0.873855,0.10481056,0.1359604,0.056005634,0.20222308,-0.29415268,-0.33848175,-0.14709808,0.037951853,0.03649348,-0.42331135,0.08313471,0.24282618,0.23357433,0.11636521,0.37047923,0.36524317,0.5200323,0.17054884,0.5244958,0.45054364,0.021675847,0.11757956
36,1.0,Сигнал,-0.7683463,-0.29531404,-0.5168169,0.32586315,0.106369086,0.17520519,0.016393878,0.6979377,1.7130252,0.45509955,-0.45490524,-0.25442046,-0.49000165,0.5990859,0.56027704,0.29441252,0.016562115,-0.09845432,0.6758525,-0.31087238,0.31344107,0.040893584,0.026815265,0.27322277,0.45390797,0.11920734,0.00016823784,0.796392,1.0371728,0.7659719,0.26922107
37,0.0,Фон,2.324072,1.9739357,1.9034048,-1.2211387,-1.1789801,-3.3731606,-1.9099885,-2.4335058,0.26513332,1.8697354,2.8241076,2.3895845,2.2288194,-1.5689617,-1.4327182,-1.9964513,-0.57984346,0.22917302,-0.09251453,1.2789602,0.50003576,0.41564882,0.32541454,0.34782302,0.25373805,1.3767093,1.3301451,2.6626787,0.35764784,0.59077513,1.1945459
38,1.0,Сигнал,-0.05984129,-0.45555258,-0.71340567,-0.28673,-0.2536727,0.4596052,0.4187271,-0.5186596,-0.059722587,-0.3905206,-0.30889732,-0.2743441,-0.084419265,-0.08130766,-0.06499609,0.30268365,0.053015407,-0.027652219,-0.06180915,-0.22181323,0.24905603,0.18120849,0.6289864,0.20542234,0.1886766,0.15692154,0.3657117,0.4910074,0.0020865612,0.16870737,0.09962107
39,1.0,Сигнал,-0.95542043,-0.58806145,-1.3357605,1.9289514,1.4304227,-0.18384726,-0.1259479,-0.5695641,0.044659253,-1.4253187,-0.89590645,-0.8729119,-1.2391822,1.4655758,1.4466126,0.14554493,-0.22785626,0.023427658,0.59364545,-0.75772977,0.059513986,0.28485042,0.09657824,0.46337557,0.016189933,0.3293922,0.10190837,0.59299177,0.5489862,0.66758895,0.15265727
40,1.0,Сигнал,-0.72513807,-0.6235631,-0.76736706,1.0958247,1.14869,0.504422,0.06771175,0.5575921,2.3246515,-0.43318006,-0.7393943,-0.48663738,-1.129328,1.4785085,1.4322991,0.27623314,-0.07872127,-0.07490791,1.2730758,-0.5628953,0.014256239,0.13692573,0.36196095,0.38268375,0.28360915,0.22818887,0.14643303,0.6325,1.0515757,0.12971523,0.1973055
41,0.0,Фон,-0.5854265,-0.3880999,-0.1740033,-0.096689984,-0.2527726,0.21780376,0.14468758,0.3063221,-1.0463916,0.02276799,-0.33925462,-0.39640307,-0.14572646,-0.027244471,0.0018278342,0.19259925,0.021045517,0.05400746,-0.29717192,-0.22083715,0.24617189,0.008303165,0.028276846,0.06944551,0.25460044,0.02520451,0.12364206,0.25231463,0.74921966,0.24360514,0.0831372
42,1.0,Сигнал,-0.23157951,-0.110280946,0.5753195,-0.5410242,-0.52820456,0.70715445,0.5634678,-0.53373456,-0.030688036,-0.888406,-0.12993005,-0.05776181,0.09057869,-0.3308648,-0.2676158,0.39717975,0.06268707,-0.09382311,0.03107969,-0.13917905,0.10164946,0.052519135,0.48474085,0.21015942,0.26058877,0.3099747,0.5007807,0.43991145,0.061767727,0.7492269,0.14656821
43,1.0,Сигнал,0.41946188,0.607992,2.1285613,-1.2559885,-1.1942818,1.0548686,1.066083,-0.48590395,-0.9755966,-0.21418592,0.6367074,0.77612793,0.79797894,-0.95953363,-0.91575027,0.27697432,0.07776606,-0.16203156,0.011165131,0.45358706,0.21724555,0.16813594,1.3305824,0.29645485,0.27853155,0.77789426,0.9883169,0.3238724,0.98676175,0.667773,0.5117783
44,1.0,Сигнал,0.2245779,0.16322331,1.8555802,-1.0882741,-1.0331632,0.649133,1.0500443,-0.5344584,-0.89725274,-0.3004142,0.44134527,0.553807,0.6371964,-0.8168903,-0.79528326,0.2671895,0.06836796,-0.13037021,-0.083540514,0.32484046,0.21676737,0.3905837,1.2183838,0.27138382,0.23787993,0.38194352,0.98167634,0.4040882,0.81371224,0.62525463,0.41401663
45,0.0,Фон,0.20708795,-0.26198897,0.51416326,-0.617258,-0.44719514,0.78045666,0.7415305,0.8226534,-0.2833925,0.41778925,0.03097082,0.08284301,0.27615917,-0.43358886,-0.42011365,0.31823668,0.10376322,-0.08481144,-0.12355167,0.049889088,0.17611712,0.34483197,0.23800409,0.18366915,0.02708149,0.46221998,0.63776726,0.90746486,0.15984082,0.36790016,0.18458264
46,0.0,Фон,-0.26357546,-0.46511093,-0.42857414,0.8965277,1.0766817,0.6707504,0.5862616,-0.28051987,-0.7947179,-0.69285446,-0.647949,-0.6547936,-0.61060005,0.66951996,0.6793528,0.20092463,-0.08422008,0.05902297,0.090389505,-0.4692132,0.38437352,0.18968269,0.18202591,0.22700775,0.3973289,0.46982574,0.6704817,0.33954284,0.8851074,0.22364128,0.20452604
47,1.0,Сигнал,-0.25534004,-0.749762,-0.6118313,0.4603614,0.56452227,0.28666943,0.40162048,0.20039213,-0.8126207,-0.18186368,-0.5515454,-0.59848344,-0.39667872,0.36621207,0.3903119,0.21146691,-0.04667862,0.086052746,-0.13544369,-0.3867137,0.29620534,0.15127856,0.21515259,0.09414932,0.17421037,0.075202525,0.4482991,0.11433938,0.677177,0.20485003,0.091635995
48,0.0,Фон,1.503444,2.0772858,1.3915122,-0.53448987,-0.42739284,-3.0429082,1.3915857,-2.4586709,1.3786968,2.7427325,1.7940009,1.6957196,1.6811717,-1.2848692,-1.2394975,-1.0100065,-0.27200112,0.04544445,0.050981138,1.0350959,0.2905569,0.38156617,0.2896595,0.7503793,0.8121047,2.0329018,1.6635869,2.5041153,1.3277156,1.7076366,1.9386158
49,1.0,Сигнал,-0.0027867362,-0.2419983,-0.62410486,0.14126843,0.12077076,0.6183397,0.7628892,-0.59781754,0.46296835,-1.1305084,-0.4139666,-0.3171615,-0.30106968,0.22111988,0.25030234,0.33277678,0.010181423,-0.054102115,0.27603588,-0.32014388,0.41117987,0.0751632,0.32303518,0.07985145,0.12953159,0.28556293,0.7527078,0.5437154,0.18693247,0.81036454,0.19376008
50,1.0,Сигнал,-0.6051083,-0.17863502,-0.59998095,-0.025356911,0.06766459,0.5945346,0.18647058,0.7248593,-0.3129405,0.38771364,-0.39356333,-0.3616422,-0.18607126,0.12422555,0.08765462,0.22032566,0.045772146,0.008926096,-0.08210285,-0.22677672,0.21154499,0.1830072,0.41390967,0.14958246,0.019990027,0.37420893,0.14069843,0.7159332,0.23083766,0.6144904,0.13756119
51,1.0,Сигнал,0.94092345,0.33823085,1.5110737,-1.4405832,-1.3743027,-2.0835958,0.88871723,-0.53654784,-0.91205937,0.5272194,1.6193705,1.3858056,1.3484814,-1.0066682,-1.0288554,-1.0569946,-0.25832045,0.10146736,-0.23026912,0.8121961,0.678447,1.0475748,0.16259229,0.43391502,0.3454473,1.0266012,1.1470377,0.6380152,0.68179023,0.28497666,0.5214474
52,0.0,Фон,-0.8287158,-0.52197737,-0.7578445,1.211809,1.1783935,0.31741536,0.07411348,0.2698556,-0.37666172,-0.6244656,-0.74819267,-0.73588693,-0.88667446,1.0470468,1.0181258,0.14422426,-0.14122796,0.042604156,0.30326453,-0.57319725,0.08052313,0.21390957,0.12882996,0.16476226,0.16026771,0.1731911,0.21534145,0.22725144,0.6799263,0.05126834,0.071460925
53,1.0,Сигнал,-0.9524625,-0.60226977,-1.3778715,2.0073633,1.768862,-0.17937014,-0.091363646,0.5380198,-0.6051599,0.0057576983,-0.8319292,-0.81796175,-1.043094,1.2502522,1.2163343,0.08591617,-0.17941509,0.0499945,0.34705415,-0.64394546,0.12053329,0.21569198,0.33477747,0.7571111,0.55252767,0.2652863,0.088051446,0.48802528,0.952214,0.64970315,0.26967555
54,1.0,Сигнал,-0.31170416,-0.4184844,-0.25716734,-0.18925962,-0.18166433,-0.21445103,-0.87637144,0.3651501,-1.0252163,0.35761133,-0.17972974,-0.3145881,-0.08033435,-0.12531218,-0.05780577,0.06021916,0.017609235,0.08027194,-0.4488578,-0.1768029,0.13197441,0.10389629,0.17683299,0.06394744,0.12385856,0.27467018,0.8939807,0.28487816,0.57635856,0.53441423,0.16525003
55,1.0,Сигнал,0.47261742,-0.14344114,-0.5739525,-0.12827256,-0.18886517,-0.6755516,0.46821535,0.7995826,-0.1682046,1.1817279,0.1589765,0.12394429,0.30120674,-0.2572574,-0.37452528,-0.09275223,0.08317356,0.00033252966,-0.34119907,0.2207637,0.31364092,0.26738542,0.87515926,0.12898484,0.18566011,0.5827994,0.38504177,0.79925007,0.17299446,0.9609642,0.30669683
56,0.0,Фон,-0.68405783,-0.545931,-0.66706234,0.46526214,0.5240176,0.21370398,0.105654895,0.274739,2.07407,-0.6855529,-0.6129934,-0.39588568,-0.82711244,1.0178486,1.0023283,0.30987042,-0.054562215,-0.082898885,0.9754439,-0.48017904,0.07106441,0.1500453,0.1600501,0.55258644,0.4783107,0.09616645,0.1602171,0.35763788,1.0986261,0.20537385,0.19992928
57,0.0,Фон,1.4547526,2.3993955,0.95093316,-0.6041894,-0.25997344,-1.6806047,-1.2904147,-3.8216891,-0.50715053,0.96088827,1.4989836,1.3410904,1.3196598,-1.0305289,-1.0551175,-0.88154423,-0.21141228,0.059976004,-0.1759418,0.8048786,0.044231057,1.058305,0.36872667,0.4263395,0.7951441,0.79906046,1.0790024,3.8816652,0.33120874,0.15600967,1.9076052
58,1.0,Сигнал,-0.45646384,-0.52171904,-0.5764919,-0.046593476,-0.20956758,-0.4718564,-0.5088129,-0.3650245,0.6074552,0.43019927,-0.37981966,-0.31863135,-0.17633106,0.09159867,0.07020089,0.24883623,0.049133148,-0.018629745,0.005462479,-0.22934096,0.07664418,0.20308769,0.40016085,0.13819215,0.27976847,0.72069263,0.557946,0.34639478,0.6019927,0.65954024,0.20526946
59,1.0,Сигнал,-0.77930087,-0.6303842,-0.9089364,1.2297784,1.0838826,-0.035439186,0.12501125,0.38153756,-0.5214705,-0.61355335,-0.74432075,-0.75712496,-0.8301902,0.943131,0.9331072,0.1313035,-0.14566974,0.0649469,0.16128734,-0.5717183,0.03498012,0.12674075,0.0787462,0.28664738,0.15077537,0.16674268,0.270681,0.31659067,0.68275785,0.04183507,0.07975972
60,0.0,Фон,-0.49709243,-0.7593204,-0.725256,0.662381,0.97046936,0.23476808,0.33777007,-0.10172928,1.5061162,-0.32109267,-0.65484095,-0.45335212,-0.8873997,1.1442047,1.0994052,0.2597801,-0.05970538,-0.05972603,0.93770677,-0.4813969,0.15774852,0.30596825,0.16214365,0.48182374,0.12893581,0.025012031,0.39747545,0.04200325,0.5684094,0.16030425,0.09027336
61,1.0,Сигнал,-0.44102624,-0.18796803,-0.07137084,-0.5339454,-0.6191151,0.026990004,0.21939796,-0.14764899,-0.5497118,0.12643449,-0.17164269,-0.16291523,0.064608246,-0.25417706,-0.26851943,0.2176989,0.07686028,-0.024995107,-0.263176,-0.07500616,0.26938355,0.0250528,0.13597909,0.27976832,0.35059568,0.1907089,0.14253768,0.12265389,0.28653583,0.20144065,0.048728503
62,1.0,Сигнал,-0.59744984,-0.393426,-0.9313674,0.2583418,0.4547095,-0.4078265,-0.69700134,0.12500775,-1.0116206,-0.4725899,-0.48070693,-0.6380738,-0.34918323,0.15620202,0.2937126,0.19695051,-0.068511486,0.13390188,-0.3434639,-0.42370462,0.11674291,0.2446478,0.5821842,0.10213977,0.16099691,0.60477704,0.62848985,0.008894131,0.66815674,0.048885286,0.16584297
63,0.0,Фон,-0.89844626,-1.0087391,-1.0596051,2.6520836,3.7994976,0.3805349,-0.072395995,-0.04456609,1.1185468,0.34293324,-0.9885181,-0.7172841,-1.6178099,2.2368748,2.1731694,0.09003119,-0.15491076,-0.046793014,1.4693414,-0.70149463,0.09007186,0.29145503,0.55820477,0.41520882,1.6263282,0.29050368,0.08251476,0.0022269227,0.35079455,1.0444279,0.45270857
64,1.0,Сигнал,-0.28055942,0.14255658,0.24710722,-0.9287276,-0.95305383,0.4127613,0.26086098,1.1312411,-0.213636,-0.8722783,0.0058453605,0.033457622,0.23525111,-0.45111436,-0.43225446,0.30950266,0.070698515,-0.069804735,-0.20089471,0.0004467813,0.2864048,0.109098956,0.011856109,0.47761327,0.5207994,0.10325864,0.19016246,1.2010459,0.012741283,0.87272507,0.28445643
